,GAMEID,TEAM_HOME,TEAM_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY,ODDS_HOME,PROBS_HOME,PROBS_AWAY
116,201311130SAS,SAS,WAS,1571.0424977664088,1486.9883734186271,1577.157284054178,1480.873587130858,2.7550869577222645,0.7336945825066663,0.2663054174933337
117,201311130DEN,DEN,LAL,1484.139785122424,1469.6897871072422,1492.224866650023,1461.6047055796432,1.8455465126480541,0.6485736586785208,0.35142634132147926
118,201311130UTA,UTA,NOP,1416.8960314438668,1486.9060270966575,1424.5697811447662,1479.232277395758,1.1349455094796992,0.5316039704246565,0.4683960295753435
119,201311130POR,POR,PHO,1524.4930395486513,1524.2590370441515,1527.4858966408783,1521.2661799519244,1.7005327734060884,0.6297026979832818,0.37029730201671823
120,201311130SAC,SAC,BRK,1454.6956483660865,1483.7845641000013,1468.9390508602853,1469.5411616058025,1.4364076541193387,0.5895596542272976,0.4104403457727024
121,201311130LAC,LAC,OKC,1532.5083553310096,1526.7065026014466,1539.0668659657833,1520.1479919666729,1.7559196212782346,0.6371447148606657,0.3628552851393343
122,201311140NYK,NYK,HOU,1479.2438175770205,1509.336653655275,1472.8220563306224,1515.7584149016732,1.4281305509740598,0.5881605296721613,0.41183947032783874
123,201311140GSW,GSW,OKC,1541.274389879895,1520.1479919666729,1543.9988104195647,1517.423571427003,1.9178559965698612,0.657282607100704,0.342717392899296
124,201311150IND,IND,MIL,1565.3063063496695,1472.106968104399,1574.9651287661363,1462.448145687932,2.9040115919990863,0.7438532195833106,0.2561467804166894
125,201311150TOR,TOR,CHI,1512.0649593709666,1503.8290648256593,1493.939927526345,1521.954096670281,1.780695808205503,0.6403777798890771,0.3596222201109229
126,201311150ATL,ATL,PHI,1510.256646813966,1475.1523234457625,1516.8143024469941,1468.5946678127343,2.0785515908731083,0.6751719207939634,0.3248280792060366
127,201311150BOS,BOS,POR,1490.788992694137,1527.4858966408783,1477.0067901074679,1541.2680992275475,1.374857667783976,0.5789221334964808,0.42107786650351925
128,201311150CLE,CLE,CHA,1459.923399053631,1481.8021528829338,1450.8103677641402,1490.9151841724247,1.4972803168863478,0.5995643767989902,0.40043562320100984
129,201311150MIA,MIA,DAL,1531.1006593239008,1520.9828179787187,1536.5795086212224,1515.503968681397,1.8000915919520697,0.6428688251219472,0.3571311748780529
130,201311150DEN,DEN,MIN,1492.224866650023,1545.0053643292242,1498.0858147141328,1539.1444162651144,1.2532818659592222,0.5562028811809125,0.44379711881908745
131,201311150PHO,PHO,BRK,1521.2661799519244,1469.5411616058025,1514.2519689320268,1476.5553726257,2.287244257311845,0.6957938255498686,0.3042061744501315
132,201311150UTA,UTA,SAS,1424.5697811447662,1577.157284054178,1417.392513554476,1584.3345516444683,0.7055555992148101,0.4136807967677091,0.586319203232291
133,201311150LAL,LAL,MEM,1461.6047055796432,1468.1174350959577,1454.7015757745392,1475.0205649010618,1.6357546976738229,0.6206020230628643,0.3793979769371356
134,201311150SAC,SAC,DET,1468.9390508602853,1474.058698503497,1458.5080771829353,1484.489672180847,1.64892491770921,0.6224883561951616,0.3775116438048383
135,201311160CHA,CHA,MIA,1490.9151841724247,1536.5795086212224,1475.553886622008,1551.9408061716392,1.3056873270197726,0.5662898484624301,0.43371015153756987
136,201311160ORL,ORL,DAL,1497.5397011688135,1515.503968681397,1486.710061231309,1526.3336086189015,1.53140242763718,0.6049620601283047,0.39503793987169533
137,201311160WAS,WAS,CLE,1480.873587130858,1450.8103677641402,1469.343785819364,1462.340169075634,2.01910102109441,0.668775574910208,0.33122442508979205
138,201311160NYK,NYK,ATL,1472.8220563306224,1516.8143024469941,1454.8260486039233,1534.8103101736933,1.318315580182843,0.5686523402818476,0.4313476597181524
139,201311160CHI,CHI,IND,1521.954096670281,1574.9651287661363,1534.9946620875585,1561.9245633488588,1.2516197853311264,0.5558752829785875,0.4441247170214125
