,GAMEID,TEAM,ELO,DATE,WHERE_PLAYED,SEASON,D_RTG,GAME_NO,OPP_SCORE,O_RTG,SCORE
190,201311100PHO,PHO,1518.2957538999558,2013-11-10,Home,2014,103.4,7.0,94.0,111.1,101.0
191,201311100PHO,NOP,1508.275307819668,2013-11-10,Away,2014,111.1,7.0,101.0,103.4,94.0
192,201311100LAL,LAL,1474.2210195844066,2013-11-10,Home,2014,110.5,8.0,113.0,88.0,90.0
193,201311100LAL,MIN,1516.872964683981,2013-11-10,Away,2014,88.0,7.0,90.0,110.5,113.0
194,201311110CHA,CHA,1482.5440833816642,2013-11-11,Home,2014,109.5,7.0,103.0,100.0,94.0
195,201311110CHA,ATL,1508.0355035126845,2013-11-11,Away,2014,100.0,7.0,94.0,109.5,103.0
196,201311110IND,IND,1557.5842678248298,2013-11-11,Home,2014,92.9,8.0,79.0,111.7,95.0
197,201311110IND,MEM,1493.0420218899585,2013-11-11,Away,2014,111.7,7.0,95.0,92.9,79.0
198,201311110PHI,PHI,1487.2076980528768,2013-11-11,Home,2014,118.3,8.0,109.0,92.3,85.0
199,201311110PHI,SAS,1551.9512545991968,2013-11-11,Away,2014,92.3,8.0,85.0,118.3,109.0
200,201311110BOS,BOS,1490.8040711300378,2013-11-11,Home,2014,110.3,8.0,105.0,126.0,120.0
201,201311110BOS,ORL,1504.2998424025714,2013-11-11,Away,2014,126.0,8.0,120.0,110.3,105.0
202,201311110CHI,CHI,1494.4206876448613,2013-11-11,Home,2014,93.2,6.0,81.0,110.4,96.0
203,201311110CHI,CLE,1481.2367761610917,2013-11-11,Away,2014,110.4,8.0,96.0,93.2,81.0
204,201311110HOU,HOU,1510.90491974641,2013-11-11,Home,2014,92.8,8.0,104.0,98.2,110.0
205,201311110HOU,TOR,1500.3300135707682,2013-11-11,Away,2014,98.2,8.0,110.0,92.8,104.0
206,201311110UTA,UTA,1435.00024785038,2013-11-11,Home,2014,111.1,8.0,100.0,90.0,81.0
207,201311110UTA,DEN,1466.0355687159108,2013-11-11,Away,2014,90.0,6.0,81.0,111.1,100.0
208,201311110POR,POR,1519.5237879735525,2013-11-11,Home,2014,117.0,7.0,103.0,123.8,109.0
209,201311110POR,DET,1488.0337034570232,2013-11-11,Away,2014,123.8,6.0,109.0,117.0,103.0
210,201311110LAC,LAC,1528.798524993611,2013-11-11,Home,2014,109.3,8.0,107.0,111.4,109.0
211,201311110LAC,MIN,1536.8101947399603,2013-11-11,Away,2014,111.4,8.0,109.0,109.3,107.0
212,201311120MIA,MIA,1519.5169534414213,2013-11-12,Home,2014,98.9,8.0,95.0,122.8,118.0
213,201311120MIA,MIL,1487.516913279279,2013-11-12,Away,2014,122.8,6.0,118.0,98.9,95.0
214,201311120DAL,DAL,1513.949543502208,2013-11-12,Home,2014,100.6,8.0,95.0,111.2,105.0
215,201311120DAL,WAS,1494.021647895138,2013-11-12,Away,2014,111.2,7.0,105.0,100.6,95.0
216,201311120GSW,GSW,1532.2686365014674,2013-11-12,Home,2014,102.7,8.0,95.0,122.1,113.0
217,201311120GSW,DET,1483.0644518819245,2013-11-12,Away,2014,122.1,7.0,113.0,102.7,95.0
218,201311120LAL,LAL,1454.2837895284274,2013-11-12,Home,2014,96.6,9.0,95.0,118.0,116.0
219,201311120LAL,NOP,1502.3120246754722,2013-11-12,Away,2014,118.0,8.0,116.0,96.6,95.0
220,201311130ORL,ORL,1493.713461876413,2013-11-13,Home,2014,99.0,9.0,91.0,102.3,94.0
221,201311130ORL,MIL,1475.9332073967994,2013-11-13,Away,2014,102.3,7.0,94.0,99.0,91.0
222,201311130PHI,PHI,1468.1164548856648,2013-11-13,Home,2014,106.0,9.0,117.0,111.5,123.0
223,201311130PHI,HOU,1516.3725222153728,2013-11-13,Away,2014,111.5,9.0,123.0,106.0,117.0
224,201311130BOS,BOS,1501.390451656196,2013-11-13,Home,2014,97.8,9.0,89.0,91.2,83.0
